time,open,high,low,close,tick_volume,spread,real_volume,Datetime,month,year,day_week,date,symbol
1571875200,1491.88,1503.97,1487.95,1503.59,57930,0,0,24.10.2019,10,2019,3,24.10.2019,XAUUSD
1571961600,1503.46,1517.91,1500.57,1504.37,66397,0,0,25.10.2019,10,2019,4,25.10.2019,XAUUSD
1572220800,1504.48,1508.18,1489.96,1492.38,63319,0,0,28.10.2019,10,2019,0,28.10.2019,XAUUSD
1572307200,1491.77,1494.75,1483.51,1487.64,60860,0,0,29.10.2019,10,2019,1,29.10.2019,XAUUSD
1572393600,1487.98,1496.58,1481.13,1495.54,67957,0,0,30.10.2019,10,2019,2,30.10.2019,XAUUSD
1572480000,1496.22,1514.17,1493.74,1512.53,71447,0,0,31.10.2019,10,2019,3,31.10.2019,XAUUSD
1572566400,1512.56,1515.95,1503.18,1514.06,64381,0,0,01.11.2019,11,2019,4,01.11.2019,XAUUSD
1572825600,1514.07,1514.74,1504.36,1509.42,56692,0,0,04.11.2019,11,2019,0,04.11.2019,XAUUSD
1572912000,1509.38,1509.59,1479.3,1483.37,74096,0,0,05.11.2019,11,2019,1,05.11.2019,XAUUSD
1572998400,1483.26,1494.14,1482.36,1490.35,62844,0,0,06.11.2019,11,2019,2,06.11.2019,XAUUSD
1573084800,1490.36,1492.16,1460.55,1468.42,82115,0,0,07.11.2019,11,2019,3,07.11.2019,XAUUSD
1573171200,1468.23,1472.92,1456.19,1458.93,80700,0,0,08.11.2019,11,2019,4,08.11.2019,XAUUSD
1573430400,1459.38,1466.41,1448.15,1455.79,56846,0,0,11.11.2019,11,2019,0,11.11.2019,XAUUSD
1573516800,1454.9,1460.37,1445.56,1456.12,79320,0,0,12.11.2019,11,2019,1,12.11.2019,XAUUSD
1573603200,1455.85,1467.07,1455.76,1463.31,68161,0,0,13.11.2019,11,2019,2,13.11.2019,XAUUSD
1573689600,1463.4,1474.61,1461.09,1471.13,63301,0,0,14.11.2019,11,2019,3,14.11.2019,XAUUSD
1573776000,1471.08,1471.33,1462.4,1467.67,55117,0,0,15.11.2019,11,2019,4,15.11.2019,XAUUSD
1574035200,1467.05,1473.92,1456.35,1471.19,59453,0,0,18.11.2019,11,2019,0,18.11.2019,XAUUSD
1574121600,1471.3,1475.29,1464.77,1472.36,58935,0,0,19.11.2019,11,2019,1,19.11.2019,XAUUSD
1574208000,1472.23,1478.82,1465.87,1471.44,69554,0,0,20.11.2019,11,2019,2,20.11.2019,XAUUSD
1574294400,1474.96,1475.61,1462.33,1464.31,70873,0,0,21.11.2019,11,2019,3,21.11.2019,XAUUSD
1574380800,1463.97,1473.16,1461.32,1462.01,58565,0,0,22.11.2019,11,2019,4,22.11.2019,XAUUSD
1574640000,1460.88,1462.1,1454.03,1455.03,51632,0,0,25.11.2019,11,2019,0,25.11.2019,XAUUSD
1574726400,1455.04,1462.88,1450.02,1461.28,53446,0,0,26.11.2019,11,2019,1,26.11.2019,XAUUSD
1574812800,1461.32,1461.88,1452.5,1454.31,47463,0,0,27.11.2019,11,2019,2,27.11.2019,XAUUSD
1574899200,1453.96,1458.22,1453.96,1455.8,29856,0,0,28.11.2019,11,2019,3,28.11.2019,XAUUSD
1574985600,1455.6,1466.5,1453.02,1463.91,42769,0,0,29.11.2019,11,2019,4,29.11.2019,XAUUSD
1575244800,1464.13,1465.06,1453.93,1462.33,57572,0,0,02.12.2019,12,2019,0,02.12.2019,XAUUSD
1575331200,1462.11,1481.7,1459.8,1477.2,63666,0,0,03.12.2019,12,2019,1,03.12.2019,XAUUSD
1575417600,1477.39,1484.03,1471.42,1474.4,67235,0,0,04.12.2019,12,2019,2,04.12.2019,XAUUSD
1575504000,1474.74,1480.29,1472.85,1475.78,57505,0,0,05.12.2019,12,2019,3,05.12.2019,XAUUSD
1575590400,1475.74,1479.68,1458.67,1459.94,59211,0,0,06.12.2019,12,2019,4,06.12.2019,XAUUSD
1575849600,1459.52,1465.34,1458.69,1461.49,42038,0,0,09.12.2019,12,2019,0,09.12.2019,XAUUSD
1575936000,1461.74,1469.11,1460.04,1464.11,48336,0,0,10.12.2019,12,2019,1,10.12.2019,XAUUSD
1576022400,1463.78,1478.84,1462.68,1474.71,52400,0,0,11.12.2019,12,2019,2,11.12.2019,XAUUSD
1576108800,1474.62,1486.67,1463.84,1469.59,67816,0,0,12.12.2019,12,2019,3,12.12.2019,XAUUSD
1576195200,1466.36,1478.01,1461.69,1475.51,78586,0,0,13.12.2019,12,2019,4,13.12.2019,XAUUSD
1576454400,1475.22,1479.83,1473.11,1476.03,44281,0,0,16.12.2019,12,2019,0,16.12.2019,XAUUSD
1576540800,1475.82,1480.5,1474.18,1476.11,41328,0,0,17.12.2019,12,2019,1,17.12.2019,XAUUSD
1576627200,1475.72,1479.26,1470.43,1475.43,42007,0,0,18.12.2019,12,2019,2,18.12.2019,XAUUSD
1576713600,1475.6,1481.63,1473.22,1478.77,41502,0,0,19.12.2019,12,2019,3,19.12.2019,XAUUSD
1576800000,1478.8,1480.91,1475.82,1477.98,35673,0,0,20.12.2019,12,2019,4,20.12.2019,XAUUSD
1577059200,1478.12,1486.08,1477.47,1485.33,38389,0,0,23.12.2019,12,2019,0,23.12.2019,XAUUSD
1577145600,1485.38,1500.45,1484.33,1499.48,38717,0,0,24.12.2019,12,2019,1,24.12.2019,XAUUSD
1577318400,1499.01,1512.54,1497.33,1510.82,51426,0,0,26.12.2019,12,2019,3,26.12.2019,XAUUSD
1577404800,1512.43,1515.26,1507.28,1510.78,48725,0,0,27.12.2019,12,2019,4,27.12.2019,XAUUSD
1577664000,1511.49,1516.06,1510.74,1514.91,42736,0,0,30.12.2019,12,2019,0,30.12.2019,XAUUSD
1577750400,1514.8,1525.26,1514.56,1516.99,49845,0,0,31.12.2019,12,2019,1,31.12.2019,XAUUSD
1577923200,1518.18,1531.33,1517.17,1528.99,56562,0,0,02.01.2020,1,2020,3,02.01.2020,XAUUSD
1578009600,1528.22,1553.51,1527.92,1551.78,87711,0,0,03.01.2020,1,2020,4,03.01.2020,XAUUSD
1578268800,1559.34,1588.66,1559.34,1565.62,110873,0,0,06.01.2020,1,2020,0,06.01.2020,XAUUSD
1578355200,1565.08,1577.27,1555.28,1573.99,88125,0,0,07.01.2020,1,2020,1,07.01.2020,XAUUSD
1578441600,1573.92,1611.34,1552.2,1556.32,174839,0,0,08.01.2020,1,2020,2,08.01.2020,XAUUSD
1578528000,1556.93,1561.28,1540.21,1552.2,94573,0,0,09.01.2020,1,2020,3,09.01.2020,XAUUSD
1578614400,1551.62,1563.12,1545.69,1561.96,68516,0,0,10.01.2020,1,2020,4,10.01.2020,XAUUSD
1578873600,1560.68,1561.49,1546.51,1547.75,63894,0,0,13.01.2020,1,2020,0,13.01.2020,XAUUSD
1578960000,1548.05,1548.82,1535.88,1546.28,71737,0,0,14.01.2020,1,2020,1,14.01.2020,XAUUSD
1579046400,1546.26,1558.12,1545.91,1556.12,65477,0,0,15.01.2020,1,2020,2,15.01.2020,XAUUSD
1579132800,1556.31,1558.04,1547.98,1552.37,54225,0,0,16.01.2020,1,2020,3,16.01.2020,XAUUSD
1579219200,1552.56,1561.21,1549.35,1557.26,55287,0,0,17.01.2020,1,2020,4,17.01.2020,XAUUSD
1579478400,1557.31,1562.73,1556.31,1558.18,30627,0,0,20.01.2020,1,2020,0,20.01.2020,XAUUSD
